state,x,y
Andhra Pradesh,-56,-133
Arunachal Pradesh,187,90
Assam,143,53
Bihar,52,48
Chhattisgarh,-10,-26
Goa,-129,-128
Gujarat,-171,2
Haryana,-98,105
Himachal Pradesh,-84,155
Jharkhand,41,10
Karnataka,-116,-142
Kerala,-97,208
Madhya Pradesh,-62,-2
Maharashtra,-113,-66
Manipur,174,25
Meghalaya,121,38
Mizoram,160,-4
Nagaland,182,50
Odisha,3,-43
Punjab,-119,133
Rajasthan,-164,57
Sikkim,89,75
Tamil Nadu,-78,-197
Telangana,-68,-90
Tripura,135,8
Uttar Pradesh,-58,75
Uttrakhand,-66,128
West Bengal,66,1
